Name,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New recovered,Active Cases,Serious Cases,Total Tezts,Population
USA,"96,149,016",,"1,069,748 ",,"91,873,169",,"3,206,099","4,029","1,100,355,942", 
India,"44,429,258",,"527,874 ",,"43,835,852",,"65,532",698,"885,881,136","1,409,273,386 "
France,"34,509,961",,"154,039 ",,"33,990,930",,"364,992",869,"271,490,188","65,584,999 "
Brazil,"34,414,011",,"683,914 ",,"33,457,359",,"272,738","8,318","63,776,166","215,818,679 "
Germany,"32,095,854",,"147,223 ",,"31,204,400",,"744,231","1,406","122,332,384","84,361,727 "
UK,"23,492,875",,"187,761 ",,"23,198,168","+8,196","106,946",146,"522,526,476","68,655,180 "
S. Korea,"23,246,398","+103,919","26,764 ",+75,"21,209,666","+124,444","2,009,968",569,"15,804,065","51,364,333 "
Italy,"21,845,943",,"175,505 ",,"21,010,197",,"660,241",226,"242,250,595","60,270,134 "
Russia,"19,482,648",,"384,254 ",,"18,557,580",,"540,814","2,300","273,400,000","146,069,399 "
Japan,"18,772,004","+139,582","39,564 ",+311,"16,875,963","+197,799","1,856,477",591,"71,372,933","125,641,741 "
Turkey,"16,671,848",,"100,400 ",,N/A,N/A,N/A,975,"162,743,369","86,296,896 "
Spain,"13,342,530",,"112,600 ",,"13,113,979",,"115,951",339,"471,036,328","46,793,829 "
Vietnam,"11,408,952",,"43,117 ",,"10,170,271",,"1,195,564",137,"85,826,548","99,227,893 "
Australia,"10,029,103","+11,066","13,899 ",+65,"9,872,614",,"142,590",84,"78,179,753","26,138,175 "
Argentina,"9,678,225",,"129,711 ",,"9,477,279","+4,456","71,235",456,"35,716,069","46,090,433 "
Netherlands,"8,385,110",,"22,599 ",,"8,313,977",,"48,534",34,"21,107,399","17,216,635 "
Iran,"7,527,499",,"143,820 ",,"7,292,566",,"91,113","1,104","53,730,223","86,312,319 "
Mexico,"7,021,598","+6,223","329,456 ",+55,"6,274,762","+6,855","417,380","4,798","18,161,607","131,855,081 "
Indonesia,"6,354,245",,"157,541 ",,"6,151,650",,"45,054","2,771","106,645,001","279,763,274 "
Colombia,"6,299,595",,"141,519 ",,"6,122,457",,"35,619",342,"36,279,188","52,052,892 "
Poland,"6,173,059",,"117,059 ",,"5,335,962",,"720,038","2,782","36,947,074","37,757,235 "
Portugal,"5,417,101",,"24,845 ",,"5,319,782",,"72,474",61,"43,527,258","10,132,611 "
Taiwan,"5,308,029","+34,623","9,914 ",+21,"4,814,619","+22,844","483,496",,"24,315,529","23,909,738 "
Ukraine,"5,044,941",,"108,803  ",,"4,922,363",+777,"13,775",177,"19,521,252","43,167,431 "
Austria,"4,902,914",,"19,407 ",,"4,817,884",,"65,623",69,"195,410,181","9,117,241 "
Malaysia,"4,780,284",,"36,210 ",,"4,712,915",,"31,159",72,"63,715,065","33,260,647 "
DPRK,"4,772,813",,74 ,,"4,772,739",,0,,,"26,022,483 "
Greece,"4,762,827",,"32,552 ",,"4,654,921",,"75,354",115,"91,707,649","10,313,306 "
Thailand,"4,650,919","+2,240","32,306 ",+28,"4,602,862","+1,917","15,751","1,496","17,270,775","70,177,704 "
Israel,"4,632,109",,"11,603 ",,"4,608,563",,"11,943",266,"41,373,364","9,326,000 "
Chile,"4,502,674",,"60,445 ",,"4,415,436",,"26,793",157,"43,916,886","19,470,178 "
Belgium,"4,482,315",,"32,516 ",,"4,389,947",,"59,852",63,"35,286,170","11,698,411 "
Canada,"4,158,491",,"43,797 ",,"4,028,676","+4,085","86,018",261,"64,259,009","38,456,006 "
Peru,"4,102,641",,"215,745 ",,"3,839,769","+8,738","47,127",216,"34,303,728","33,962,777 "
Czechia,"4,038,511",,"40,805 ",,"3,985,087",,"12,619",28,"55,955,186","10,751,826 "
Switzerland,"4,025,870",,"14,148 ",,"3,937,093",,"74,629",46,"22,103,405","8,791,148 "
South Africa,"4,011,657",,"102,084 ",,"3,902,822",,"6,751",192,"26,168,861","60,921,927 "
Philippines,"3,878,734",,"61,773 ",,"3,790,793",,"26,168",655,"32,206,771","112,727,689 "
Romania,"3,216,257",,"66,673 ",,"3,092,953",,"56,631",219,"24,643,997","18,961,090 "
Denmark,"3,091,394",,"6,920 ",,"3,074,011",,"10,463",6,"128,191,650","5,836,194 "
Sweden,"2,564,423",,"19,779 ",,"2,522,768",+292,"21,876",17,"18,844,252","10,235,099 "
Iraq,"2,457,871",,"25,346 ",,"2,429,962",,"2,563",21,"19,212,734","42,169,962 "
Serbia,"2,279,485",,"16,672 ",,"2,181,112",,"81,701",25,"10,663,811","8,661,501 "
Hungary,"2,036,390",,"47,191  ",,"1,945,910",,"43,289",27,"11,394,556","9,607,466 "
Bangladesh,"2,011,732",,"29,323 ",,"1,956,201",,"26,208","1,331","14,747,609","168,228,948 "
Singapore,"1,837,090",,"1,592 ",,"1,759,287",,"76,211",10,"24,342,902","5,949,593 "
Slovakia,"1,833,873",,"20,349 ",,"1,808,150",,"5,374",39,"7,266,881","5,465,345 "
New Zealand,"1,740,840","+2,348","2,742 ",+17,"1,723,232","+3,271","14,866",,"7,483,250","5,002,100 "
Georgia,"1,735,682",,"16,889 ",,"1,637,293",,"81,500",,"16,920,079","3,972,658 "
Jordan,"1,735,495",,"14,110 ",,"1,718,032",,"3,353",59,"17,128,152","10,421,646 "
Ireland,"1,655,338",,"7,780 ",,"1,638,645",,"8,913",14,"12,632,936","5,056,778 "
Pakistan,"1,569,076",+227,"30,581 ",+6,"1,528,907",,"9,588",115,"30,111,440","230,146,526 "
Hong Kong,"1,531,308",,"9,681 ",,"1,316,442",,"205,185",13,"54,352,132","7,628,185 "
Norway,"1,460,011",,"3,980 ",,"1,454,112",,"1,919",20,"11,002,430","5,512,683 "
Kazakhstan,"1,388,479",+230,"13,684 ",,"1,357,309",+401,"17,486",24,"11,575,012","19,261,244 "
Morocco,"1,264,388",,"16,273 ",,"1,247,708",,407,293,"12,448,105","37,854,399 "
Finland,"1,258,798",,"5,577 ",,"1,224,052","+2,398","29,169",21,"11,362,325","5,559,282 "
Bulgaria,"1,242,133",,"37,600 ",,"1,191,783",,"12,750",50,"10,430,103","6,835,714 "
Lithuania,"1,217,300",,"9,286 ",,"1,186,801",,"21,213",6,"10,114,206","2,640,465 "
Croatia,"1,212,547",,"16,690 ",,"1,191,028",,"4,829",23,"5,135,085","4,050,699 "
Lebanon,"1,208,681",,"10,622 ",,"1,087,587",,"110,472",186,"4,795,578","6,759,556 "
Tunisia,"1,143,788",,"29,234 ",,N/A,N/A,N/A,99,"4,917,212","12,085,405 "
Slovenia,"1,125,145",,"6,782 ",,"1,097,916",,"20,447",16,"2,721,383","2,079,554 "
Cuba,"1,110,497",,"8,530 ",,"1,101,687",,280,23,"14,064,773","11,311,709 "
Bolivia,"1,101,652",+832,"22,198 ",+2,"1,029,045","+1,210","50,409",220,"2,705,422","12,016,549 "
Guatemala,"1,100,437",,"19,472 ",,"1,072,428",,"8,537",5,"5,642,668","18,630,601 "
Costa Rica,"1,049,554",,"8,836 ",,"860,711",,"180,007",52,"4,659,757","5,194,466 "
UAE,"1,014,899",,"2,341 ",,"993,740",,"18,818",,"183,972,385","10,148,204 "
Nepal,"997,122",,"12,000 ",,"981,976",,"3,146",,"5,887,718","30,267,487 "
Ecuador,"995,147",,"35,832 ",,"947,709",+61,"11,606",759,"3,082,403","18,221,063 "
Belarus,"994,037",,"7,118 ",,"985,592",,"1,327",,"13,646,641","9,442,621 "
Uruguay,"979,160",,"7,445 ",,"970,116",,"1,599",18,"6,114,822","3,499,694 "
Mongolia,"978,960",,"2,179 ",,"968,355",,"8,426",192,"4,030,048","3,392,192 "
